codigo,nome,score_contratacao_v3,titulo_vaga,modalidade
25632,José Vieira,0.5685015208535978,CONSULTOR CONTROL M,
25529,Srta. Isabela Cavalcante,0.4315298132686851,CONSULTOR CONTROL M,
25364,Sra. Yasmin Fernandes,0.4591505068248324,2021-2607395-PeopleSoft Application Engine-Domain Consultant,
25360,Alexia Barbosa,0.511209508854409,2021-2607395-PeopleSoft Application Engine-Domain Consultant,
26338,Arthur Almeida,0.511209508854409,2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead,
24645,Dante Sampaio,0.511209508854409,2021-2605708-Microfocus Application Life Cycle Management - HP Quality Center-Engineering Lead,
26361,Ana Luiza Vieira,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
26205,Isabella da Cruz,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
26003,Maria Helena Peixoto,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
25509,Dra. Gabrielly Cassiano,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
23913,Sra. Maria Sophia Sampaio,0.493651000701786,2021-2605711-Microfocus QTP - UFT Automation Testing,
21458,Eloá da Mota,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
13951,Luiz Gustavo Dias,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
12819,Sr. Benjamin Sampaio,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
11132,Bruna Abreu,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
8838,Gael Nunes,0.511209508854409,2021-2605711-Microfocus QTP - UFT Automation Testing,
26338,Arthur Almeida,0.511209508854409,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
25983,Srta. Maria Eduarda Farias,0.47012986545479124,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
25519,Pietro Nunes,0.511209508854409,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
25454,Bárbara Nogueira,0.511209508854409,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
25445,Sarah da Mota,0.511209508854409,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
23387,Brenda Azevedo,0.511209508854409,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
22977,Lunna Alves,0.4736503010027059,Microfocus QTP - UFT Automation Testing-Lead-2021-2608031,CLT
25362,Sr. Cauã Vargas,0.5556469828565592,Gestão De Incidentes Field Support - 11755457,
25335,Otávio Silveira,0.48476436643446863,Gestão De Incidentes Field Support - 11755457,
25304,Juliana Machado,0.5463855083580202,Gestão De Incidentes Field Support - 11755457,
7714,Laís Pastor,0.5556469828565592,Gestão De Incidentes Field Support - 11755457,
25283,Bárbara Nascimento,0.3893964161472656,PMO Practitioner - 11744940,
22662,Gustavo Henrique Cirino,0.5479816391961122,PMO Practitioner - 11744940,
22626,Vitor Hugo Garcia,0.5479816391961122,PMO Practitioner - 11744940,
22608,Dr. Matteo Camargo,0.5479816391961122,PMO Practitioner - 11744940,
22607,Ravi Lucca Pereira,0.5479816391961122,PMO Practitioner - 11744940,
14591,Mariah Souza,0.5767638782661975,PMO Practitioner - 11744940,
23624,Dr. Henry Gabriel Nogueira,0.511209508854409,Desenvolvedor Java Spring - 11730086,
26560,Ana Carolina Viana,0.42593887456677115,Java EE Hybris - 11753315,
